Country code,State code,Postcode / ZIP,City,Rate %,Tax name,Priority,Compound,Shipping,Tax class
AT,,,,20.0000,VAT,1,0,1,Digital Goods
BE,,,,21.0000,VAT,1,0,1,Digital Goods
BG,,,,20.0000,VAT,1,0,1,Digital Goods
CY,,,,19.0000,VAT,1,0,1,Digital Goods
CZ,,,,21.0000,VAT,1,0,1,Digital Goods
DE,,,,19.0000,VAT,1,0,1,Digital Goods
DK,,,,25.0000,VAT,1,0,1,Digital Goods
EE,,,,20.0000,VAT,1,0,1,Digital Goods
EL,,,,24.0000,VAT,1,0,1,Digital Goods
ES,,,,21.0000,VAT,1,0,1,Digital Goods
FI,,,,24.0000,VAT,1,0,1,Digital Goods
FR,,,,20.0000,VAT,1,0,1,Digital Goods
GB,,,,20.0000,VAT,1,0,1,Digital Goods
HR,,,,25.0000,VAT,1,0,1,Digital Goods
HU,,,,27.0000,VAT,1,0,1,Digital Goods
IE,,,,23.0000,VAT,1,0,1,Digital Goods
IM,,,,20.0000,VAT,1,0,1,Digital Goods
IT,,,,22.0000,VAT,1,0,1,Digital Goods
LT,,,,21.0000,VAT,1,0,1,Digital Goods
LU,,,,17.0000,VAT,1,0,1,Digital Goods
LV,,,,21.0000,VAT,1,0,1,Digital Goods
MC,,,,20.0000,VAT,1,0,1,Digital Goods
MT,,,,18.0000,VAT,1,0,1,Digital Goods
NL,,,,21.0000,VAT,1,0,1,Digital Goods
PL,,,,23.0000,VAT,1,0,1,Digital Goods
PT,,,,23.0000,VAT,1,0,1,Digital Goods
RO,,,,19.0000,VAT,1,0,1,Digital Goods
SE,,,,25.0000,VAT,1,0,1,Digital Goods
SI,,,,22.0000,VAT,1,0,1,Digital Goods
SK,,,,20.0000,VAT,1,0,1,Digital Goods
